Number of Layers,Accuracy,Precision,Recall,F1 Score
2,0.797583081570997,0.7894736842105263,0.8132530120481928,0.8011869436201781
3,0.8338368580060423,0.8284023668639053,0.8433734939759037,0.8358208955223881
4,0.7854984894259819,0.7810650887573964,0.7951807228915663,0.7880597014925372
